a.  huetz;d.  vichon
erling  veje;bjarne  andresen
j.  pommier;d.  dhuicq
l. w. buxton;m. r. keenan
r. stephen berry;bjarne  andresen
kenneth i. golden;pradip m. bakshi
michael j. lindenfeld;james w. dufty
d. t. jacobs;sandra c. greer
christopher m. sorensen;mark d. semon
w. f. saam;michael a. lee
david e. nitz;stephen j. smith
hitoshi  nishimura;kohei  yamada
j. e. aldag;jerry l. peacher
p. l. altick;m.  palmquist
t. s. ho;f. t. chan
l. wilmer anderson;a. m. howald
d. k. killinger;c. m. huang
e.  gürmen;meera  chandrasekhar
charles f. kennel;toshiki  tajima
phillip  sprangle;robert a. smith
w. e. meyerhot;ch.  stoller
s. c. bates;j. l. dunlap
thomas f. gallagher;j  f. delpech
p. h. mokler;w. n. lennard
r. j. van brunt;r. e. kennerly
s. f. shirron;marco  zoppi
s.  bliman;d.  van houtte
gregory j. hatton;e. j. beiting
h. q. le;michael  rosenbluh
k.  wagstaff;r. l. paul
mukunda p. das;m. v. ramana
franz  howorka;e.  alge
raymond j. fonck;d. h. tracy
m. a. whitehead;t. j. tseng
martin  dost;w. a. schönfeldt
p.  jacquinot;j.  pinard
ralph d. hight;donal j. burns
russell a. hulse;m.  bitter
paul  weiss;bernardo  jaduszliwer
a. g. nader;a. g. de pinho
a.  kuwako;t. c. chu
kohei  yamada;h.  azechi
albert w. overhauser;samuel a. werner
ronald a. lovett;peter  winkler
henry p. freund;e. h. da jornada
r. s. schneider;b.  liberman
sebastian  doniach;d. k. misemer
m.  kamiya;keizo  ishii
j.  aubert;d.  van houtte
helena  aksela;t. darrah thomas
s.  bliman;n.  chan-tung
marek  polasik;p.  malinowski
j. p. miller;a. r. kunselman
ruedi  seiler;maria  hoffmann-ostenhof
chun c. lin;s. c. chung
preben  hvelplund;helge  knudsen
lorenzo m. narducci;x. y. huang
gordon h. dunn;george e. chamberlain
charles d. moak;philip d. miller
thomas n. rescigno;robert r. lucchese
gautam  ghosh;brahmananda  dasgupta
d.  aadsen;d.  guillon
robert  anholt;w. e. meyerhot
rené  pellat;a. saint marc
carmen  cisneros;ignacio  alvarez
paul r. berman;p. f. liao
james s. cohen;richard l. martin
annie  spielfiedel;david e. pritchard
h.  orth;t. w. crane
tom j. gray;patrick  richard
h. l. rothwell;robert c. amme
h. m. epstein;r. e. schwerzel
steven trent manson;k. d. chao
frederick w. king;stuart m. rothstein
m.  ashour-abdalla;john m. dawson
melville s. green;marcos  ley-koo
james w. dufty;gregory e. garland
b.  suleman;marc  hou
n. c. paul;s. sen gupta
cleanthes a. nicolaides;yannis  komninos
p. g. coleman;john d. mcnutt
sushma  kothari;anand n. nigam
s.  von goeler;w.  stodiek
william g. hoover;brad lee holian
d. m. o'brien;s. e. harris
j. d. kilkenny;james g. lunney
hitoshi  nishimura;h.  azechi
w.  zakowicz;i. j. feng
h. ted davis;p. h. kleban
vernon w. hughes;w. e. frieze
tatsumi  kawaratani;ken ichi  kubota
b.  liberman;henry p. freund
stanley j. sramek;gordon a. gallup
j. l. dunlap;l. e. murray
ramakrishna  gowda;c.  ranganathaiah
vu ngoc tuan;victor  sidis
m.  kovacs;j. h. jacob
chiyoe  yamanaka;a.  tamura
shiro  hara;masaaki  nakamura
thomas m. miller;benjamin  bederson
t. a. detemple;a. t. rosenberger
l. m. miranda;c. s. lima
kingsley w. jones;r. h. schuch
e. h. da jornada;henry p. freund
n.  schaffel;h. p. garnir
jose d. garcia;kennedy j. reed
horacio d. sivak;r. dominguez tenreiro
x.  husson;m.  druetta
shaoul  ezekiel;l. a. hackel
arthur j. schwartz;srinivasan  krishnamurthy
junya  mizuno;takeshi  ishihara
david c. cartwright;fernando j. da paixão
d. b. fenner;d. e. bowen
r. f. stebbings;k. a. smith
b. r. suydam;bernard j. feldman
hitoshi  nishimura;f.  matsuoka
claude  delisle;andrzej  zardecki
eugene  zaremba;m. j. stott
s. r. hartmann;joseph h. eberly
b. k. van zyl;robert c. amme
h.  orth;daniel c. lu
p.  polak-dingels;john  keller
d.  guillon;d.  aadsen
jeffrey c. halle;h. h. lo
d.  merlini;gabor j. kalman
n. r. sauthoff;m.  bitter
s. sen gupta;n.  chaudhuri
humberto s. brandi;nicim  zagury
r. s. peterson;ivan a. sellin
nobuhiro  kuwahara;k.  hamano
albert  teitsma;p. a. egelstaff
james d. farina;luigi a. lugiato
gerhard  huber;p. l. pillet
s. j. petuchowski;t. a. detemple
mineo  kimura;s. k. knudson
s.  von goeler;m.  bitter
bernard  laskowski;paul l. devries
j. p. miller;j. l. vuilleumier
h. c. werner;n.  stolterfoht
michael a. lee;c.  ebner
gabor j. kalman;haim  yatom
p. e. chumbley;duane a. dolejsi
benjamin  lax;r.  panock
donald g. simons;james g. brennan
kennedy j. reed;n.  stolterfoht
s.  huldt;indrek  martinson
m.  rothschild;jeffrey  bokor
h.  dickow;ove  poulsen
m.  anderle;s.  marchetti
w. l. slattery;gary d. doolen
walter r. johnson;m.  le dourneuf
k. h. finken;r.  buchwald
s.  liberman;gerhard  huber
p. a. souder;p. a. thompson
da hsuan feng;robert  gilmore
shalom  eliezer;steven  jackel
peter d. drummond;daniel f. walls
b.  patra;j. n. das
bernard  laskowski;c. wang chang
r.  schieder;h. p. gush
quentin c. kessel;matthew s. lucas
j.  rouch;sow hsin chen
jiří  Čížek;richard k. moats
charles k. rhodes;r. l. carman
d. e. post;m.  bitter
m.  hamada;chiyoe  yamanaka
c. j. david lin;d. m. blankenship
i.  Čadež;f.  gresteau
c.  brechignac;peter e. toschek
gy.  csanak;david c. cartwright
k. s. puttaswamy;c.  ranganathaiah
jeffrey  bokor;h.  egger
i.  välimaa;p.  hautojärvi
fernando  parente;marianne  breinig
n.  chaudhuri;s. sen gupta
karl  lohmer;wolfgang  neuwirth
bernd  crasemann;kh rezaul karim
g. w. shirtcliffe;k. e. banyard
peter j. mohr;mark  hilley
quentin c. kessel;philip d. miller
john a. leavitt;henn  oona
keizo  ishii;a.  kuwako
k.  patnaik;p. c. dash
jose d. garcia;d. h. schneider
r. j. powers;j. p. miller
bruce j. zabransky;zeev  vager
george l. wong;john b. ketterson
j. tserkrisme ndefru;john g. wills
e. s. mashkova;v. a. molchanov
r.  kutina;donald s. gemmell
david a. crosby;r. g. rolfes
w. a. roney;wayne a. seale
werner  brandt;max  goldstein
chun c. lin;a. m. howald
m. e. schillaci;l. f. mausner
k. a. smith;r. f. stebbings
b. l. jhanwar;s. p. khare
g.  saemann-ischenko;f.  löffler
w. j. mielniczuk;jacek  chrostowski
peter  otto;barry g. adams
jonathan  roth;harry l. frisch
m. r. arnfield;r. m. measures
charles l. cleveland;h. a. gersch
rufus h. ritchie;thomas l. ferrell
f.  touchard;a.  pesnelle
john e. rice;s. l. allen
gy.  csanak;b. v. mckoy
giacinto  scoles;m.  anderle
w. j. pietsch;a. j. ratkowski
larry d. gardner;s. d. sharma
j.  basu;s. sen gupta
d.  dowek;vu ngoc tuan
d. c. gregory;c. j. david lin
p. t. leung;werner  brandt
f.  moussa;a. j. leadbetter
r.  geller;d.  van houtte
shin  ito;tatsumi  kawaratani
brant m. johnson;r. h. schuch
paul w. schmidt;p. e. chumbley
r. h. pantell;d. y. wang
vincenzo g. benza;mario  gronchi
gabor j. kalman;r.  calinon
kang l. wang;h. e. henrikson
sadao  nakai;kohei  yamada
jon alan wright;leonard  schlessinger
j.  chapelle;c.  fleurier
ali a. antar;charles d. moak
alfred k. mann;dan  nir
w. r. garrett;b. g. ritchie
h. gordon berry;robert l. brooks
gordon h. dunn;b. k. van zyl
j. e. willis;s. m. shafroth
john t. park;p. j. martin
phillip  sprangle;b.  liberman
john j. kozak;k. a. green
p. j. mallozzi;b. e. campbell
murray  sargent;luigi a. lugiato
r. j. van brunt;a. c. gallagher
kang l. wang;j. l. vuilleumier
mitio  inokuti;daryl a. douthat
takahiro  ueda;d. e. rio
david b. boercker;james w. dufty
eli  yablonovitch;h. s. kwok
hiroyuki m. tanaka;ara  chutjian
henry p. freund;d.  dillenburg
john p. wikswo;bernd a. hess
lloyd  armstrong;mina  vajed-samii
y.  inada;m.  hamada
p. h. edmonds;r. c. isler
werner  pietsch;wolfgang  neuwirth
j. k. simons;per  kaijser
p. a. souder;j.  vetter
marcel  ausloos;p.  clippe
jiří  Čížek;peter  otto
m. y. yu;padma kant shukla
s. g. menon;m. r. gunye
h. c. barr;t. m. boyd
h. l. rothwell;b. k. van zyl
p.  juncar;gerhard  huber
robert j. birgeneau;carl w. garland
w.  wilhelm;f. j. hartmann
esteban  martina;george  stell
w. j. pietsch;bruce j. zabransky
r. stephen berry;paul  rehmus
