j. l. dehmer;david l. ederer
rita  giordano;norberto  micali
b. a. rathore;a.  lesage
h.  grossman;lawrence b. mendelsohn
rené jean  champeau;christian  delsart
k. g. whitney;allan a. hauer
harvey e. wegner;peter  thieberger
tan  takahashi;tadayoshi  doke
fernando m. de oliveira;cid b. de araújo
eugene  feenberg;deok kyo lee
daan  lenstra;s. r. singh
t. s. ho;f. t. chan
j. b. donahue;david a. clark
e.  yépez;m. a. ortíz
krzysztof  wódkiewicz;m. suhail zubairy
charles f. kennel;toshiki  tajima
david a. young;william j. nellis
emil  kazes;david a. owen
thomas f. gallagher;j  f. delpech
t. h. kho;d. j. bond
j  c. gauthier;regina  bonanno
james l. reid;john r. ray
j. l. hunt;g. h. smith
michael s. pindzola;donald c. griffin
a. d. wilson-gordon;r.  klimovsky-barid
b. g. lane;ronald c. davidson
jean pierre briand;m. t. ramos
daniel  dewey;stuart d. brorson
n. c. sil;james h. mcguire
d. c. gregory;d. h. crandall
sheldon  datz;leif  liljeby
david a. clark;h.  sharifian
giorgio  comparin;giulio  casati
c.  garban-labaune;j.  virmont
y. w. chan;y. t. hui
l.  steenman-clark;c.  camhy-val
e.  källne;jan  källne
m. f. ross;r. j. trainor
hans a. schuessler;chun sing  o
e.  dekempeneer;chris  van den broeck
henry p. freund;e. h. da jornada
r. s. schneider;b.  liberman
terry a. miller;h. m. rosenbluh
brett i. dunlap;hoi lai yu
harvey e. wegner;g.  goldring
szymon  suckewer;m.  finkenthal
piotr  froelich;nils  elander
chun c. lin;s. c. chung
j. r. kaufman;jack  sugar
francisco m. fernández;sergio a. maluendes
preben  hvelplund;helge  knudsen
harm geert muller;j.  kimman
harald  friedrich;m. c. chu
m.  kamitokusari;norio  kobayashi
w. l. mcmillan;jack m. mochel
henry p. freund;achintya k. ganguly
r. k. pathria;c. l. sharma
albert c. parr;d. p. holland
carmen  cisneros;ignacio  alvarez
wade t. rogers;giovanni  stefani
tatuya  sasakawa;jiří  horáček
thomas w. mossberg;k. p. leung
james s. cohen;richard l. martin
shaul  mukamel;yitzhak  rabin
h.  baumgart;e.  huttel
rashmi c. desai;farid f. abraham
j. robert dorfman;t. r. kirkpatrick
robert h. mcfarland;alfred s. schlachter
tom j. gray;patrick  richard
arie  zigler;m.  klapisch
a.  kunick;w. h. steeb
steven h. overbury;marianne  breinig
gabor j. kalman;p.  carini
shunsuke  nakanishi;masakazu  kunitomo
p. j. doe;h. j. mahler
m.  ashour-abdalla;john m. dawson
james w. dufty;gregory e. garland
manfred  fink;s. n. ketkar
j. n. shaumeyer;c. a. clark
bahaa a. saleh;david  stoler
cleanthes a. nicolaides;yannis  komninos
h.  madsbøll;j. s. forster
victor  steinberg;pierre c. hohenberg
günther  clausnitzer;h.  baumgart
george  stell;john  karkheck
e.  redd;e.  rille
marcel  ausloos;j.  pȩkalska
h.  sharifian;c. a. frost
j. l. tain;j.  meissburger
claire  bauche-arnoult;eliane  luc-koenig
g.  melchart;e.  uggerhøj
b.  liberman;henry p. freund
yoseph  imry;kazumi  maki
william j. nellis;m.  van thiel
hyatt m. gibbs;frederic a. hopf
joe f. mcnutt;clyde w. mccurdy
l. l. lewis;wayne m. itano
p.  carini;kenneth i. golden
thomas m. miller;benjamin  bederson
benjamin m. ocko;a. refik kortan
thomas a. green;merle e. riley
r. a. phaneuf;r. aaron falk
matilde  leal;emilio  santos
m. s. dababneh;m. n. uddin
rido  mann;alfred  müller
c. lee giles;walter j. wild
e. h. da jornada;henry p. freund
a.  rutkowski;d.  rutkowska
s. k. saha;robert w. hellwarth
s. a. martin;j.  meissburger
c. s. singh;r. s. srivastava
ernest g. kessler;laurance d. jacobs
peter j. collings;richard v. tranfield
e. a. clerke;richard a. ferrell
n. i. winstrup;ove  poulsen
alex  dalgarno;christopher  bottcher
robert c. allen;a. s. kanofsky
r. f. stebbings;k. a. smith
a.  el himdy;p.  camus
g. o. williams;a. b. watson
ronald james bieniek;t. j. streeter
j. b. donahue;m. a. yates
j. p. mossé;annie  chetioui
c. g. back;g.  vassilev
dale a. huckaby;anne m. dougherty
c. h. obcemea;nils  elander
s. b. elston;roman  laubert
h. j. mahler;p. j. doe
allen r. slaughter;r. d. mathews
p.  polak-dingels;john  keller
