frank f. de groot;alain  fontaine
françois m. peeters;noboru  miura
tobias  ruf;manuel  cardona
boyd w. veal;james d. jorgensen
k.  saarinen;risto m. nieminen
heinrich m. jaeger;t. f. rosenbaum
jefferson z. liu;j. l. peng
eugene e. haller;a. k. ramdas
m. h. grimsditch;ivan k. schuller
bo  monemar;magnus  willander
hugues  dreyssé;claude  demangeat
v. d. kulakovskii;mansour  shayegan
heinz  kalt;p. o. holtz
klaus h. ploog;manuel  cardona
karsten w. jacobsen;hans l. skriver
laurent j. lewis;risto m. nieminen
j. p. wolfe;hadis  morkoç
hans l. skriver;bo¨rje  johansson
s. h. wei;alex  zunger
zachary  fisk;carlos  rettori
john m. wills;bo¨rje  johansson
x. c. gonze;ph.  lambin
j. p. leburton;h. a. fertig
wolfgang  eberhardt;c.  carbone
bruce n. harmon;alexander i. liechtenstein
c. osvaldo rodriguez;igor i. mazin
grzegorz  karczewski;jacek k. furdyna
gen  shirane;marc a. kastner
robert j. birgeneau;marc a. kastner
peter h. kes;m. p. maley
s. lance cooper;s  w. cheong
robert j. cava;hiroshi  eisaki
thomas  timusk;m. b. walker
lev n. bulaevskii;valerii m. vinokur
carlos  tejedor;luis  brey
f. c. chou;david c. johnston
dave g. hinks;b. d. dabrowski
paul c. canfield;j. d. thompson
lászló  szunyogh;peter  weinberger
julio a. alonso;manuel  barranco
j. l. smith;zachary  fisk
josef  kudrnovský;václav  drchal
josef  kudrnovský;peter  weinberger
jozef t. devreese;noboru  miura
jagdeep  shah;l. j. sham
hidenori  takagi;atsushi  fujimori
marcin  konczykowski;peter h. kes
giyuu  kido;toshizo  fujita
stephen m. shapiro;f. j. lamelas
janusz  kanski;j. h. guo
malcolm r. beasley;theodore h. geballe
v. d. kulakovskii;thomas l. reinecke
o. g. brandt;holger t. grahn
david a. huse;w. c. lee
h. g. zheng;x. b. wang
eric d. bauer;f. g. bridges
h. c. ku;h. d. yang
ole k. andersen;peter  wyder
hans l. skriver;per  söderlind
j. l. smith;j. d. thompson
