wilson m. powell;william b. fowler
elizabeth w. baker;gerhart  friedlander
albert m. clogston;laurence r. walker
frank  asaro;jack m. hollander
lawrence c. biedenharn;roy m. thaler
glenn t. seaborg;walter e. nervik
brend t. matthias;philip w. anderson
reinhard  oehme;marvin l. goldberger
martin m. block;alan m. thorndike
glenn t. seaborg;bernard g. harvey
masataka  mizushima;chun c. lin
peter g. bergmann;joel l. lebowitz
paul r. fields;john r. huizenga
benjamin  lax;herbert j. zeiger
owen  chamberlain;clyde e. wiegand
abraham  pais;murray  gell-mann
albert a. caretto;james b. cumming
j. m. steinberger;m. e. schwartz
william b. fowler;wilson m. powell
bernard t. feld;david m. ritson
sulamith  goldhaber;frances m. smith
burton j. moyer;bruce  cork
charles j. gallagher;jack m. hollander
john r. huizenga;james  wing
leon m. lederman;william  chinowsky
m. l. halbert;a.  zucker
john r. huizenga;albert  ghiorso
paul c. martin;c. s. wu
r. g. johnson;o. e. johnson
m. e. schwartz;n. p. samios
joseph  weneser;gertrude  scharff-goldhaber
richard m. bozorth;h. j. williams
harry g. hicks;peter c. stevenson
t. j. ypsilantis;robert d. tripp
herbert  diamond;stanley g. thompson
lawrence c. biedenharn;john p. schiffer
john r. huizenga;glenn t. seaborg
c. r. gossett;john p. schiffer
e.  almqvist;d. a. bromley
john r. huizenga;j. e. gindler
paul  goldhammer;eugene  feenberg
donald harvey stork;leroy t. kerth
laura m. roth;herbert j. zeiger
john o. rasmussen;jack m. hollander
rufus h. ritchie;jacob  neufeld
herbert  diamond;john r. huizenga
r. d. birkhoff;rufus h. ritchie
john h. gibbons;richard l. macklin
r. m. sternheimer;martin m. block
martin a. pomerantz;romas a. shatas
i.  halpern;a. w. fairhall
david  pines;charles p. slichter
s.  taylor;jay  orear
i.  perlman;john p. hummel
s. n. foner;benjamin  lax
g. m. temmer;ralph p. hudson
fredrik  zachariasen;sidney d. drell
h. w. wyld;s. b. treiman
roy j. glauber;paul c. martin
charles p. slichter;david  pines
eugene  feenberg;mark  bolsterli
a. e. litherland;d. a. bromley
g. a. demars;h.  statz
william  chinowsky;j. m. steinberger
walter e. nervik;david r. nethaway
g. c. phillips;c. w. reich
f. w. prosser;lawrence c. biedenharn
albert a. caretto;elizabeth w. baker
william a. nierenberg;henry b. silsbee
william e. stephens;d. h. wilkinson
d. h. wilkinson;william e. stephens
benjamin  lax;laura m. roth
gerhart  friedlander;james b. cumming
walter  kohn;j. m. luttinger
w. g. smith;r. l. robinson
harvey  marshak;john h. gibbons
james c. phillips;joseph  callaway
earle c. fowler;martin m. block
lawrence m. langer;j. h. hamilton
stanley g. thompson;glenn t. seaborg
eugene  eichler;grover d. o'kelley
j. j. lambe;david l. dexter
frances m. smith;sulamith  goldhaber
clyde e. wiegand;owen  chamberlain
shimon  ofer;s. g. cohen
morrel h. cohen;james c. phillips
william d. walker;r. d. hill
harold w. lewis;philip w. anderson
t. w. bonner;r. d. bent
jack  sandweiss;leroy t. kerth
j. robert schrieffer;john  bardeen
albert m. clogston;harry  suhl
john p. schiffer;robert h. davis
j. t. eisinger;c. r. gossett
fred l. ribe;john e. brolley
masataka  mizushima;walter  gordy
s. g. cohen;shimon  ofer
robert w. birge;leroy t. kerth
john d. fox;peter  axel
joseph s. levinger;m. l. rustgi
henry b. silsbee;william a. nierenberg
jay  orear;s.  taylor
louis  rosen;leona  stewart
frank  asaro;stanley g. thompson
bruce  cork;william a. wenzel
lawrence c. biedenharn;f. w. prosser
s.  raboy;john r. huizenga
roy m. thaler;lawrence c. biedenharn
lester m. corliss;julius m. hastings
lawrence  cranberg;louis  rosen
i.  halpern;j. t. eisinger
rufus h. ritchie;r. d. birkhoff
c. s. wu;brice m. rustad
sanborn c. brown;george j. schulz
r. e. behrends;alberto  sirlin
john o. rasmussen;benjamin  segall
elizabeth w. baker;albert a. caretto
aihud  pevsner;anatole m. shapiro
morrel h. cohen;william p. dumke
james s. koehler;a.  sosin
j.  hudis;james b. cumming
john e. brolley;louis  rosen
gerson  goldhaber;david m. ritson
stanley g. thompson;i.  perlman
frances m. smith;gerson  goldhaber
vincent  jaccarino;stanley  geschwind
d. a. bromley;nathan s. wall
glenn t. seaborg;peter c. stevenson
aihud  pevsner;e. o. salant
bertram n. brockhouse;a. t. stewart
kenneth m. watson;keith a. brueckner
harvey b. willard;joe keagy bair
jay  orear;t. d. lee
m. e. bunker;j. w. starner
richard f. wallis;robert c. herman
myron l. good;frank s. crawford
leon n. cooper;james  rainwater
james  rainwater;aihud  pevsner
r. d. hill;william d. walker
j. t. eisinger;i.  halpern
d. geoffrey ravenhall;robert  hofstadter
sulamith  goldhaber;clyde e. wiegand
david m. ritson;aihud  pevsner
herbert j. zeiger;benjamin  lax
hans o. cohn;harvey b. willard
d. e. mapother;r. r. hake
j. t. eisinger;t. w. bonner
a.  de-shalit;harry j. lipkin
o. c. kistner;a. z. schwarzschild
roman  smoluchowski;sergio  debenedetti
robert  hofstadter;d. geoffrey ravenhall
john  bardeen;david  pines
bruce j. dropesky;raymond k. sheline
j. p. remeika;brend t. matthias
brend t. matthias;harold w. lewis
ernest  corenzwit;brend t. matthias
norman  elliott;lester m. corliss
nathan s. wall;d. a. bromley
joseph  callaway;william p. dumke
stanley g. thompson;frank  asaro
william b. fowler;alan m. thorndike
r. d. hill;john c. wheatley
franz r. metzger;charles p. swann
philip w. anderson;harry  suhl
henry l. kraybill;earle c. fowler
brice m. rustad;a. z. schwarzschild
roy j. glauber;c. s. wu
walter  gordy;masataka  mizushima
arthur f. kip;charles  kittel
m. lynn stevenson;myron l. good
john r. huizenga;paul r. fields
j.  hudis;gerhart  friedlander
herbert  diamond;albert  ghiorso
a.  zucker;thomas h. handley
m. h. hull;g.  breit
sidney d. drell;fredrik  zachariasen
charles p. swann;franz r. metzger
c. w. reich;g. c. phillips
dan w. miller;v. k. rasmussen
harold k. ticho;frances m. smith
h.  statz;g. a. demars
bernard g. harvey;robert v. pyle
peter c. stevenson;glenn t. seaborg
joseph  callaway;morrel h. cohen
benjamin  segall;john o. rasmussen
milo b. sampson;dan w. miller
john e. brolley;m. e. bunker
harold w. lewis;e. m. bernstein
a.  sperduto;w. w. buechner
william b. fowler;martin m. block
paul r. fields;herbert  diamond
leona  stewart;louis  rosen
ray  pepinsky;gen  shirane
william d. walker;david m. ritson
joel l. lebowitz;peter g. bergmann
owen  chamberlain;t. j. ypsilantis
frank s. crawford;m. lynn stevenson
m. l. wiedenbeck;m. g. stewart
aihud  pevsner;seymour j. lindenbaum
peter c. stevenson;walter e. nervik
gerhart  friedlander;albert a. caretto
a. w. fairhall;i.  halpern
burton j. moyer;william a. wenzel
gen  shirane;b. c. frazer
david m. ritson;anatole m. shapiro
r. m. walker;henry l. kraybill
r. l. robinson;j. h. hamilton
louis  goldstein;jay gregory dash
herbert  diamond;paul r. fields
john p. schiffer;g. c. phillips
j. e. gindler;john r. huizenga
benjamin  lax;s. n. foner
jack m. hollander;j. w. mihelich
albert a. caretto;j.  hudis
david  pines;john  bardeen
john p. schiffer;lawrence c. biedenharn
earle c. fowler;alan m. thorndike
earle c. fowler;henry l. kraybill
john e. brolley;richard l. henkel
stanley g. thompson;bernard g. harvey
t. j. ypsilantis;clyde e. wiegand
jack  leitner;n. p. samios
anatole m. shapiro;david m. ritson
clifford c. klick;j. j. lambe
robert d. tripp;clyde e. wiegand
robert e. marshak;e. g. sudarshan
frank  asaro;bernard g. harvey
d. a. bromley;e.  almqvist
lester m. corliss;bertram n. brockhouse
charles j. goebel;malvin a. ruderman
lawrence m. langer;r. g. johnson
anatole m. shapiro;aihud  pevsner
herbert j. zeiger;laura m. roth
clifford c. klick;david l. dexter
winslow f. baker;james  rainwater
n. p. samios;j. m. steinberger
r. g. helmer;d. w. martin
walter e. nervik;peter c. stevenson
norman  elliott;julius m. hastings
sam  legvold;frank h. spedding
a. t. stewart;bertram n. brockhouse
herbert j. zeiger;richard n. dexter
r. l. cool;james w. cronin
w. g. smith;john o. rasmussen
douglas m. van patter;charles p. swann
richard h. capps;wendell g. holladay
john r. huizenga;charles d. coryell
sulamith  goldhaber;gerson  goldhaber
raymond k. sheline;noah r. johnson
j.  hudis;elizabeth w. baker
d. h. wilkinson;david e. alburger
r. m. sternheimer;henry m. foley
clyde e. wiegand;gerson  goldhaber
david l. dexter;robert s. knox
frank  asaro;john p. hummel
francis e. low;geoffrey f. chew
benjamin  lax;richard n. dexter
david l. dexter;clifford c. klick
c. r. gossett;j. t. eisinger
a. w. sunyar;david e. alburger
seymour j. lindenbaum;james  rainwater
laura m. roth;benjamin  lax
o. e. johnson;r. g. johnson
paul r. fields;albert  ghiorso
gerhart  friedlander;elizabeth w. baker
jack  sandweiss;donald harvey stork
jay gregory dash;r. dean taylor
gertrude  scharff-goldhaber;joseph  weneser
thomas h. handley;a.  zucker
marvin l. goldberger;reinhard  oehme
c. s. wu;roy j. glauber
james b. cumming;albert a. caretto
henry l. kraybill;richard s. preston
frances m. smith;walter h. barkas
j. w. starner;m. e. bunker
ralph p. hudson;g. m. temmer
william m. visscher;richard a. ferrell
francis e. low;david  pines
t. j. ypsilantis;owen  chamberlain
f. w. prosser;ralph w. krone
julius m. hastings;bertram n. brockhouse
myron l. good;m. lynn stevenson
f. k. mcgowan;p. h. stelson
milo b. sampson;v. k. rasmussen
roy m. thaler;john l. gammel
owen  chamberlain;sulamith  goldhaber
vernon w. hughes;c. s. wu
p. h. stelson;f. k. mcgowan
robert d. tripp;t. j. ypsilantis
frank h. spedding;sam  legvold
aihud  pevsner;david m. ritson
robert h. davis;f. w. prosser
t. w. bonner;j. t. eisinger
henry m. foley;r. m. sternheimer
walter h. barkas;harold k. ticho
charles p. swann;douglas m. van patter
john p. hummel;frank  asaro
william r. hosler;h. r. frederikse
chen ning yang;t. d. lee
lester m. corliss;norman  elliott
l. peter gold;laura m. roth
john o. rasmussen;charles j. gallagher
wolfgang  kaiser;hsu yun fan
earle c. fowler;richard s. preston
m. e. schwartz;jack  leitner
g. w. hull;theodore h. geballe
a. e. litherland;e.  almqvist
m. e. bunker;john e. brolley
i.  perlman;stanley g. thompson
david m. ritson;e. o. salant
a.  zucker;l. d. wyly
sidney d. drell;k. f. huang
elizabeth w. baker;james b. cumming
stanley g. thompson;paul r. fields
ray  pepinsky;b. c. frazer
george e. owen;leon  madansky
r. d. hill;e. o. salant
philip w. anderson;laurence r. walker
seymour j. lindenbaum;aihud  pevsner
n. p. samios;m. e. schwartz
e.  almqvist;a. e. litherland
stanley  bashkin;r. r. carlson
r. d. hill;david m. ritson
w. g. smith;j. h. hamilton
richard l. henkel;m. e. bunker
m. p. strandberg;michael  tinkham
james b. cumming;gerhart  friedlander
j.  hudis;albert a. caretto
albert  ghiorso;herbert  diamond
j. m. steinberger;jack  leitner
r. g. shulman;vincent  jaccarino
r. d. hill;aihud  pevsner
