j. s. schwinger;paul c. martin
aihud  pevsner;hans o. cohn
wilson m. powell;william b. fowler
bruce  cork;james w. cronin
bunji  sakita;sadao  oneda
richard s. preston;luise  meyer-schützmeister
leslie l. foldy;donald r. yennie
d. h. wilkinson;shimon  ofer
albert m. clogston;laurence r. walker
frank  asaro;jack m. hollander
henry pierce stapp;michael j. moravcsik
sam  legvold;robert h. good
richard m. bozorth;ernest  corenzwit
j. b. gerhart;fred h. schmidt
martin  walt;r. g. johnson
bruce  cork;leroy t. kerth
g. ray satchler;william  tobocman
shimon  ofer;d. h. wilkinson
j. d. knight;m. e. bunker
william b. fowler;t. j. ypsilantis
charles e. porter;george allen baker
c. w. reich;r. l. heath
william b. fowler;wilson m. powell
john k. galt;a. d. brailsford
john r. huizenga;james  wing
david y. wong;marvin l. goldberger
m. l. halbert;a.  zucker
r. l. robinson;f. k. mcgowan
leon n. cooper;andrew m. sessler
a. w. sunyar;norbert t. porile
harry g. hicks;peter c. stevenson
r. e. behrends;saul  barshay
herbert  diamond;stanley g. thompson
myron g. silbert;nelson  jarmie
g. j. igo;l. f. chase
chun wa wong;jeffrey d. anderson
michael  pollak;robert w. keyes
jack  sandweiss;earle c. fowler
e.  almqvist;d. a. bromley
wolfgang  zernik;m. l. rustgi
john r. huizenga;j. e. gindler
i.  perlman;john o. rasmussen
john e. brolley;leona  stewart
grover d. o'kelley;noah r. johnson
john h. gibbons;richard l. macklin
william a. wenzel;james w. cronin
p. h. stelson;w. g. smith
walter a. harrison;morrel h. cohen
martin a. pomerantz;romas a. shatas
i.  halpern;a. w. fairhall
s.  taylor;jay  orear
chun wa wong;john w. mcclure
glenn t. seaborg;glen e. gordon
andrew m. sessler;leon n. cooper
earle c. fowler;jack  sandweiss
william a. wenzel;leroy t. kerth
fredrik  zachariasen;sidney d. drell
leroy t. kerth;bruce  cork
s. b. treiman;marvin l. goldberger
a. e. litherland;d. a. bromley
edward h. thorndike;robert j. wilson
v. k. rasmussen;franz r. metzger
joseph  sucher;george a. snow
s. b. burson;r. g. helmer
william a. nierenberg;henry b. silsbee
benjamin  lax;laura m. roth
walter  kohn;j. m. luttinger
s. n. foner;w.  low
w. g. smith;r. l. robinson
james b. cumming;a. z. schwarzschild
robert w. keyes;michael  pollak
harry  suhl;richard m. bozorth
robert h. good;samuel h. liu
f. k. mcgowan;r. l. robinson
lawrence m. langer;j. h. hamilton
stanley g. thompson;glenn t. seaborg
clifford c. klick;herbert  rabin
shimon  ofer;s. g. cohen
howard j. schnitzer;george  salzman
paul c. martin;j. s. schwinger
warren  heckrotte;kenneth m. watson
john o. rasmussen;kenneth s. toth
j. w. cable;e. o. wollan
abraham  pais;gerson  goldhaber
william a. wenzel;r. l. cool
noah r. johnson;grover d. o'kelley
john  bardeen;ludwig  tewordt
s. g. cohen;shimon  ofer
kenneth m. watson;warren  heckrotte
herbert  diamond;lowell m. bollinger
henry b. silsbee;william a. nierenberg
w. g. smith;o. e. johnson
jay  orear;s.  taylor
edgar  lipworth;william a. nierenberg
louis  rosen;leona  stewart
alexei a. maradudin;richard f. wallis
frank  asaro;stanley g. thompson
bruce  cork;william a. wenzel
edwin  norbeck;j. morris blair
r. l. heath;c. w. reich
martin m. block;hans o. cohn
lester m. corliss;julius m. hastings
r. l. heath;robert p. schuman
alberto  sirlin;toichiro  kinoshita
herbert  Überall;christian  fronsdal
clyde e. wiegand;william b. fowler
a. g. chynoweth;r. a. logan
richard m. bozorth;brend t. matthias
harry  suhl;ernest  corenzwit
hans o. cohn;jack  leitner
john e. brolley;louis  rosen
thomas h. handley;j. w. mihelich
stanley g. thompson;i.  perlman
richard s. preston;stanley s. hanna
leon n. cooper;robert l. mills
leonard  rosenberg;larry  spruch
john l. gammel;keith a. brueckner
h. w. schmitt;r. b. murray
harvey b. willard;joe keagy bair
m. e. bunker;j. w. starner
leon j. lidofsky;r. d. bent
richard f. wallis;robert c. herman
myron l. good;frank s. crawford
c. r. gossett;j. w. butler
r. g. johnson;martin  walt
jeffrey d. anderson;john w. mcclure
d. geoffrey ravenhall;robert  hofstadter
donald harvey stork;harold k. ticho
hans o. cohn;harvey b. willard
robert  hofstadter;d. geoffrey ravenhall
howard a. shugart;wesley b. ewbank
frederick c. brown;robert s. knox
g. w. ludwig;h. h. woodbury
leroy t. kerth;william a. wenzel
norman  elliott;lester m. corliss
ernest  corenzwit;brend t. matthias
m. k. wilkinson;j. w. cable
stanley g. thompson;frank  asaro
j. w. butler;r. o. bondelid
franz r. metzger;charles p. swann
philip w. anderson;harry  suhl
henry l. kraybill;earle c. fowler
martin  peter;vincent  jaccarino
m. lynn stevenson;myron l. good
herbert b. rosenstock;clifford c. klick
herbert  diamond;albert  ghiorso
m. h. hull;g.  breit
j. w. mihelich;thomas h. handley
sidney d. drell;fredrik  zachariasen
charles p. swann;franz r. metzger
w. g. smith;f. k. mcgowan
john k. galt;laurence r. walker
alex s. green;y. c. tang
wesley b. ewbank;william a. nierenberg
sadao  oneda;bunji  sakita
paul r. fields;herbert  diamond
christian  fronsdal;herbert  Überall
d. w. engelkemeir;j. e. gindler
richard e. watson;arthur j. freeman
lee  grodzins;a. z. schwarzschild
leona  stewart;louis  rosen
r. o. simmons;r. w. balluffi
henry w. kendall;jerome i. friedman
edgar  lipworth;richard  marrus
e. o. wollan;j. w. cable
robert l. mills;leon n. cooper
francis m. pipkin;l. wilmer anderson
keith a. brueckner;philip w. anderson
frank  asaro;john o. rasmussen
lawrence l. marino;william a. nierenberg
frank s. crawford;m. lynn stevenson
john o. rasmussen;richard r. chasman
franz r. metzger;v. k. rasmussen
john  halpern;sherman  frankel
l. wilmer anderson;francis m. pipkin
a. w. fairhall;i.  halpern
edward a. stern;richard a. ferrell
j. w. starner;bruce j. dropesky
gen  shirane;b. c. frazer
jack  sandweiss;henry l. kraybill
bruce j. dropesky;j. d. knight
herbert  diamond;paul r. fields
hekrert r. philipp;e. a. taft
j. e. gindler;john r. huizenga
e. k. warburton;r. g. johnson
